"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"index_",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"sse_vector",NA,1300.82834663755,1054.78263539327,915.620054499865,795.942055739945,689.490944476356,587.637558471208,534.139895830434,473.949067889724,438.9559173732,392.637663357016,401.659064052049,394.485208898167,341.900675386287,339.273609368123
