"","size","max_diss","av_diss","diameter","separation"
"1",65,16361.3975258839,7096.98692309832,25339.3332982539,2747.14469950165
"2",82,31100.8918360873,7091.33757688119,39362.83376486,1935.60998137538
"3",90,15065.6555117924,4603.68414770542,18787.848732625,1935.60998137538
"4",34,83761.3091110687,15334.0136037456,93111.0655400313,2094.66918629172
"5",29,63238.6142005025,18032.9607852681,80404.1223072549,5461.34690346621
