"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"index",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"SSE",NA,-246.045711244282,-139.162580893402,-119.67799875992,-106.451111263589,-101.853386005148,-53.497662640774,-60.1908279407098,-34.9931505165245,-46.3182540161839,9.02140069503253,-7.17385515388139,-52.5845335118806,-2.62706601816348
